id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hours,lat,lng
38,SK에너지,주)지유에너지직영 오렌지주유소,서울,강동구,서울 강동구 성안로 102 (성내동),1734,1634,1,0,0,1,0,0,37.53231400000000,127.13317810000000
39,S-OIL,(주)퍼스트오일 코알라주유소,서울,강동구,서울특별시 강동구  올림픽로 556 (성내동),1750,1650,1,1,0,0,0,0,37.52938080000000,127.12244080000000
40,GS칼텍스,(주)소모 성내주유소,서울,강동구,서울 강동구 올림픽로 578 (성내동),1768,1668,1,1,0,1,0,0,37.53137820000000,127.12732860000000
41,GS칼텍스,지에스칼텍스㈜ 동서울주유소,서울,강동구,서울 강동구 천호대로 1456 (상일동),1799,1729,1,1,0,0,0,0,37.55110280000000,127.16964010000000
42,현대오일뱅크,천호현대주유소,서울,강동구,서울 강동구 천중로 67 (천호동),1843,1743,1,0,0,1,0,0,37.54513310000000,127.12947300000000
43,S-OIL,광성주유소,서울,강동구,서울 강동구 올림픽로 673 (천호동),1968,1858,1,0,0,1,0,1,37.54161170000000,127.12417310000000
44,SK에너지,SK에너지(주) 매일주유소,서울,강북구,서울 강북구 삼양로 217 (미아동),1599,1514,1,1,0,0,1,0,37.62279770000000,127.01913560000000
45,SK에너지,북서울고속주유소,서울,강북구,서울 강북구 삼양로 410 (수유동),1599,1504,0,1,0,0,0,1,37.64014480000000,127.01720500000000
46,GS칼텍스,수유동주유소,서울,강북구,서울 강북구 도봉로 395 (수유동),1599,1504,1,1,0,0,0,1,37.64215560000000,127.02958620000000
47,S-OIL,씨앤에스유통㈜ 미아셀프주유소,서울,강북구,서울 강북구 도봉로 200 (미아동),1625,1525,1,1,0,0,0,0,37.62652920000000,127.02650020000000
48,S-OIL,덕릉로주유소,서울,강북구,서울 강북구 덕릉로 158 (번동),1625,1525,1,1,0,0,0,0,37.63497560000000,127.03131820000000
49,GS칼텍스,㈜지에스이앤알 미아주유소,서울,강북구,서울 강북구 도봉로 122 (미아동),1625,1525,1,1,0,0,0,0,37.61999640000000,127.02903040000000
50,현대오일뱅크,HD현대오일뱅크㈜직영 번동셀프주유소,서울,강북구,서울 강북구 한천로 963 (번동),1627,1537,1,1,0,1,0,1,37.63558720000000,127.03304930000000
